url,type,name,http_status,is_self_canonical,canonical_found,is_index_allowed,is_server_rendered,title,has_desc,schema_valid,overall_status
https://collectibles.uy/categoria/funko-pop-sports,CATEGORY,"Funko Pop! Sports",200,YES,https://collectibles.uy/categoria/funko-pop-sports,YES,YES,"Funko Pop! Sports en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/home-and-decor,CATEGORY,"Home & Decor",200,YES,https://collectibles.uy/categoria/home-and-decor,YES,YES,"Home &amp; Decor en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-marvel,CATEGORY,"Funko Pop! Marvel",200,YES,https://collectibles.uy/categoria/funko-pop-marvel,YES,YES,"Funko Pop! Marvel en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-harry-potter,CATEGORY,"Funko Pop! Harry Potter",200,YES,https://collectibles.uy/categoria/funko-pop-harry-potter,YES,YES,"Funko Pop! Harry Potter en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-pixar,CATEGORY,"Funko Pop! Pixar",200,YES,https://collectibles.uy/categoria/funko-pop-pixar,YES,YES,"Funko Pop! Pixar en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-animation,CATEGORY,"Funko Pop! Animation",200,YES,https://collectibles.uy/categoria/funko-pop-animation,YES,YES,"Funko Pop! Animation en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-rocks,CATEGORY,"Funko Pop! Rocks",200,YES,https://collectibles.uy/categoria/funko-pop-rocks,YES,YES,"Funko Pop! Rocks en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop,CATEGORY,"Funko POP",200,YES,https://collectibles.uy/categoria/funko-pop,YES,YES,"Funko POP en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-disney,CATEGORY,"Funko Pop! Disney",200,YES,https://collectibles.uy/categoria/funko-pop-disney,YES,YES,"Funko Pop! Disney en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/board-games,CATEGORY,"BOARD GAMES",200,YES,https://collectibles.uy/categoria/board-games,YES,YES,"BOARD GAMES en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/dc-comics-cards,CATEGORY,"DC Comics",200,YES,https://collectibles.uy/categoria/dc-comics-cards,YES,YES,"DC Comics en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/futbol-cards,CATEGORY,"Fútbol",200,YES,https://collectibles.uy/categoria/futbol-cards,YES,YES,"Fútbol en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/funko,BRAND,"Funko",200,YES,https://collectibles.uy/marca/funko,YES,YES,"Funko en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/tcg-cards,CATEGORY,"TCG",200,YES,https://collectibles.uy/categoria/tcg-cards,YES,YES,"TCG en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-rides,CATEGORY,"Funko Pop! Rides",200,YES,https://collectibles.uy/categoria/funko-pop-rides,YES,YES,"Funko Pop! Rides en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-town,CATEGORY,"Funko Pop! Town",200,YES,https://collectibles.uy/categoria/funko-pop-town,YES,YES,"Funko Pop! Town en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/hasbro,BRAND,"Hasbro",200,YES,https://collectibles.uy/marca/hasbro,YES,YES,"Hasbro en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/neca,BRAND,"NECA",200,YES,https://collectibles.uy/marca/neca,YES,YES,"NECA en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/star-wars-cards,CATEGORY,"Star Wars",200,YES,https://collectibles.uy/categoria/star-wars-cards,YES,YES,"Star Wars en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/wrestling-cards,CATEGORY,"Wrestling",200,YES,https://collectibles.uy/categoria/wrestling-cards,YES,YES,"Wrestling en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/formula-1-cards,CATEGORY,"Fórmula 1",200,YES,https://collectibles.uy/categoria/formula-1-cards,YES,YES,"Fórmula 1 en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/yu-gi-oh-tcg,CATEGORY,"Yu-Gi-Oh!",200,YES,https://collectibles.uy/categoria/yu-gi-oh-tcg,YES,YES,"Yu-Gi-Oh! en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-albums,CATEGORY,"Funko Pop! Albums",200,YES,https://collectibles.uy/categoria/funko-pop-albums,YES,YES,"Funko Pop! Albums en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-deluxe,CATEGORY,"Funko Pop! Deluxe",200,YES,https://collectibles.uy/categoria/funko-pop-deluxe,YES,YES,"Funko Pop! Deluxe en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/baseball-mlb-cards,CATEGORY,"Baseball / MLB",200,YES,https://collectibles.uy/categoria/baseball-mlb-cards,YES,YES,"Baseball / MLB en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/pokemon-tcg,CATEGORY,"Pokémon",200,YES,https://collectibles.uy/categoria/pokemon-tcg,YES,YES,"Pokémon en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/one-piece-tcg,CATEGORY,"One Piece Card Game",200,YES,https://collectibles.uy/categoria/one-piece-tcg,YES,YES,"One Piece Card Game en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-moments,CATEGORY,"Funko Pop! Moments",200,YES,https://collectibles.uy/categoria/funko-pop-moments,YES,YES,"Funko Pop! Moments en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-art-series,CATEGORY,"Funko Pop! Art Series",200,YES,https://collectibles.uy/categoria/funko-pop-art-series,YES,YES,"Funko Pop! Art Series en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/otros-comics-cards,CATEGORY,"Otros",200,YES,https://collectibles.uy/categoria/otros-comics-cards,YES,YES,"Otros en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/movies-tv-cards,CATEGORY,"Movies & TV",200,YES,https://collectibles.uy/categoria/movies-tv-cards,YES,YES,"Movies &amp; TV en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/super7,BRAND,"Super7",200,YES,https://collectibles.uy/marca/super7,YES,YES,"Super7 en Uruguay | Collectibles",YES,YES,PASS
